name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gurgaon,India",2019-08-01,35.3,28.6,31.6,45.3,34.8,39.6,26,73.22,0.2,,4.17,,,,,14,104.2,999.1,60.9,3.1,,,0,,2019-08-01T05:43:06,2019-08-01T19:12:45,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-02,33.7,27.6,29.7,43.8,32.2,37,26.2,82.13,10.8,,8.33,,,,37.1,15.8,107.1,998.1,55.5,2.6,,,0,,2019-08-02T05:43:40,2019-08-02T19:12:04,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-03,31.4,27.4,28.7,42.5,32.2,35.6,26.5,88.14,13.4,,8.33,,,,,15.8,97,998.4,69.9,2.4,,,0,,2019-08-03T05:44:13,2019-08-03T19:11:21,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-04,35.4,27.6,29.9,47.8,32.9,38.7,27.3,86.44,16.61,,4.17,,,,27.7,9.9,80.1,997.1,60.7,2.3,,,0,,2019-08-04T05:44:47,2019-08-04T19:10:38,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-05,35,27.7,30.7,46.7,33.6,40.5,27.4,83.24,0.87,,8.33,,,,27.7,11.2,134.7,995.6,56.6,2.2,,,0,,2019-08-05T05:45:20,2019-08-05T19:09:53,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42181099999"
"Gurgaon,India",2019-08-06,30,24.9,27.8,42.2,24.9,33.9,26.8,94.14,46.2,,12.5,,,,,16.6,105,996.2,71.2,2.5,,,0,,2019-08-06T05:45:53,2019-08-06T19:09:07,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-07,33.7,26.5,29.9,44.9,26.5,36.6,26.1,81.32,0,,0,,,,,16.3,72.3,996,63.4,2.7,,,0,,2019-08-07T05:46:26,2019-08-07T19:08:20,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-08,37.1,28,32.1,47.5,33.4,40.8,26.3,72.72,0,,0,,,,,13,80.9,995.5,61.7,3.6,,,0,,2019-08-08T05:47:00,2019-08-08T19:07:31,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-09,33,29,30.9,41.4,32.8,37.5,24.9,70.32,0.9,,4.17,,,,37.1,20.5,85.8,997.5,59.4,4,,,0,,2019-08-09T05:47:33,2019-08-09T19:06:42,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-10,32.6,27,29.7,41.5,31.2,36.4,25.7,79.35,0,,0,,,,37.1,23.1,99.3,998.4,63.2,3.6,,,0,,2019-08-10T05:48:06,2019-08-10T19:05:52,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-11,36,27,31.7,46.3,31.2,39.3,25.7,71.95,0,,0,,,,,13.2,144.5,999.7,41.2,3.5,,,0,,2019-08-11T05:48:38,2019-08-11T19:05:00,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-12,35,28,30.4,48.2,32.7,39.3,26.8,81.43,1.8,,12.5,,,,,11.2,241.9,999.9,65.9,3.5,,,0,,2019-08-12T05:49:11,2019-08-12T19:04:08,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-13,35,27,29.4,46.2,31.2,36.9,26.7,86.17,21.19,,4.17,,,,37.1,17.9,236.3,1000.5,60.2,3.1,,,0,,2019-08-13T05:49:44,2019-08-13T19:03:15,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-14,33.3,26,29.2,44.3,26,36.3,26.9,87.98,23.19,,4.35,,,,,12.1,120,1001.4,69.9,2.3,,,0,,2019-08-14T05:50:16,2019-08-14T19:02:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-15,33.4,25.4,30.1,44.3,25.4,38,26.6,82.28,24.69,,8.33,,,,33.5,18.7,105.9,1001.2,69,3,,,0,,2019-08-15T05:50:48,2019-08-15T19:01:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-16,31.5,27,28.7,39.6,30.6,34.3,25.5,83.16,2.4,,8.33,,,,37.1,20.5,84.4,999.5,70.8,3.3,,,0,,2019-08-16T05:51:20,2019-08-16T19:00:29,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-17,28,26,26.8,34.5,26,29.4,25.8,94.31,17.38,,20.83,,,,33.5,20.2,107.7,999,78.9,2.5,,,0,,2019-08-17T05:51:52,2019-08-17T18:59:32,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-18,29.6,25.7,27.3,36.8,25.7,30.5,25.8,91.77,36.43,,16.67,,,,,17.9,215.1,1002.9,74.9,2.7,,,0,,2019-08-18T05:52:24,2019-08-18T18:58:35,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-19,33.3,25.7,29.7,41.9,25.7,35.6,25.4,78.75,0.3,,4.17,,,,,14.8,182.1,1004.5,47.6,2.8,,,0,,2019-08-19T05:52:56,2019-08-19T18:57:36,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-20,34.3,27.9,30.5,42.1,33.4,36.8,25.2,75.32,0,,0,,,,,16.9,261.3,1003.8,55,2.7,,,0,,2019-08-20T05:53:27,2019-08-20T18:56:36,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurgaon,India",2019-08-21,35.3,27,31.1,42.8,31.2,37.4,25,71.79,0,,0,,,,,17.9,250.5,1002.5,40.1,2.9,,,0,,2019-08-21T05:53:59,2019-08-21T18:55:36,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
